Book_Name|Author|Release_Date|Rating|Number_of_Review
Waking Up: A Guide to Spirituality Without Religion|Sam Harris|Jun 16, 2015|5|1
Kaplan ACT Premier 2016 with 8 Practice Tests: Personalized Feedback + Book + Online + DVD (Kaplan Test Prep)|Kaplan|Jun 2, 2015|4.4|7
Gironimo!: Riding the Very Terrible 1914 Tour of Italy|Tim Moore|May 15, 2015|5|4
Cibola Burn (The Expanse)|James S.A. Core|May 5, 2015|4.2|269
Scott Pilgrim Color Hardcover Volume 6: Finest Hour|Bryan Lee O'Malley and Nathan Fairbairn|May 5, 2015|4.8|73
Secrets from the Eating Lab: The Science of Weight Loss, the Myth of Willpower, and Why You Should Never Diet...|Traci Mann|Apr 7, 2015|4.5|47
The Spiritual Child: The New Science on Parenting for Health and Lifelong Thriving|Lisa J Miller|May 5, 2015|4.4|36
Out of Orange: A Memoir|Cleary Wolters|May 5, 2015|4.3|18
The Hidden Magic of Walt Disney World: Over 600 Secrets of the Magic Kingdom, Epcot, Disney's Hollywood Studios...|Susan Veness|May 1, 2015|5|2
The Nourishing Traditions Cookbook for Children: Teaching Children to Cook the Nourishing Traditions Way|Suzanne Gross and Sally Fallon Morell|May 15, 2015|4.7|14
The Washington Manual of Outpatient Internal Medicine|Thomas M. De Fer MD and Heather F. Sateia MD|May 19, 2015|5|2
A Touch of Style by Carlos Mota|Carlos Mota|Apr 28, 2015|5|1
The Gardens of Luciano Giubbilei|Andrew Wilson and Steven Wooster|May 12, 2015|4.5|2
The Sympathizer|Viet Thanh Nguyen|Apr 7, 2015|4.3|87
Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways|Jamie Jensen|May 5, 2015|4.3|3
In the Skin of a Jihadist: A Young Journalist Enters the ISIS Recruitment Network|Anna Erelle and Erin Potter|May 26, 2015|4.1|14
Barron's GRE, 21st Edition|Sharon Weiner Green M.A. and Ira K. Wolf Ph.D.|Jun 1, 2015|4|2
Born with Teeth: A Memoir|Kate Mulgrew|Apr 14, 2015|4.4|158
A Fighting Chance|Elizabeth Warren|Mar 31, 2015|4.7|1,321
Learning Tableau|Joshua N. Milligan|Apr 27, 2015|4.7|11
Black Hole: How an Idea Abandoned by Newtonians, Hated by Einstein, and Gambled On by Hawking Became Loved|Marcia Bartusiak|Apr 28, 2015|4.9|15
Becoming Aware: How to Repattern Your Brain and Revitalize Your Life|Lisa Garr|May 19, 2015|4.5|33
Church of Marvels: A Novel|Leslie Parr|May 5, 2015|4.3|36
Inside Out Read-Along Storybook and CD|Suzanne Francis|May 5, 2015|5|4
Field of Prey (Lucas Davenport)|John Sandford|Apr 7, 2015|4.5|3,924
Miracles Now: Inspirational Affirmations and Life-Changing Tools|Gabrielle Bernstein|Apr 28, 2015|4.4|13
A Match for Marcus Cynster (Cynster Novels)|Stephanie Laurens|May 26, 2015|4.4|69
The Wrong Man: A Novel of Suspense|Kate White|Jun 16, 2015|4.9|21
Insight Out: Get Ideas Out of Your Head and Into the World|Tina Seelig|May 26, 2015|4.7|13
Diary of a Minecraft Zombie Book 2: Bullies and Buddies (Volume 2)|Herobrine Books|Mar 27, 2015|4.8|
The House We Grew Up In: A Novel|Lisa Jewell|Apr 28, 2015|4.3|290
The Jesus Cow: A Novel|Michael Perr|May 19, 2015|4.4|15
Nantucket Cottages and Gardens: Charming Spaces on the Faraway Isle|Leslie Linsley and Terry Pommett|May 19, 2015|4.3|9
How to Be a Man: (and other illusions)|Duff McKagan and Chris Kornelis|May 12, 2015|4.5|17
Mastering VMware vSphere 6|Nick Marshall and Scott Lowe|Apr 6, 2015|4.3|12
The Smartest Book in the World: A Lexicon of Literacy, A Rancorous Reportage, A Concise Curriculum of Cool|Greg Proops|May 5, 2015|4.6|21
Fragments of Horror|Junji Ito|Jun 16, 2015|4.8|6
My Life as a Gamer (The My Life series)|Janet Tashjian and Jake Tashjian|Apr 7, 2015|4.7|10
India Hicks: Island Style|India Hicks and H.R.H The Prince of Wales|Mar 31, 2015|4.5|13
CompTIA Network+ Study Guide: Exam N10-006 (Comptia Network + Study Guide Authorized Courseware)|Todd Lammle|May 4, 2015|4.5|8
A Bird in the Hand: Chicken recipes for every day and every mood|Diana Henr|Apr 7, 2015|4.6|11
Little Foodie: Baby Food Recipes for Babies and Toddlers with Taste|Michele Olivier and Sara Peternell|Jun 1, 2015|5|7
Rick Steves Belgium: Bruges, Brussels, Antwerp & Ghent|Rick Steves|Mar 31, 2015|5|7
The Problem of Pain|C. S. Lewis|Apr 28, 2015|4.5|296
Minecraft: Master Handbook|Tony Williams|Apr 25, 2015|5|
A Still and Quiet Conscience: The Archbishop Who Challenged a Pope, a President, and a Church|John A. McCo|May 10, 2015|4.8|16
CompTIA Linux+ Powered by Linux Professional Institute Study Guide: Exam LX0-103 and Exam LX0-104 (Comptia Linux...|Christine Bresnahan and Richard Blum|Apr 27, 2015|4.6|7
The Open Organization: Igniting Passion and Performance|Jim Whitehurst and Gary Hamel|May 12, 2015|5|6
Tom Clancy's Op-Center: Into the Fire: A Novel|Dick Couch and George Galdorisi|May 5, 2015|4.1|84
The Diva Steals a Chocolate Kiss (A Domestic Diva Mystery)|Krista Davis|Jun 2, 2015|4.8|43
The Love Object: Selected Stories|Edna O'Brien and John Banville|May 5, 2015|4.5|2
Bunny Williams On Garden Style|Bunny Williams|Apr 7, 2015|4.5|16
After the Dance: My Life with Marvin Gaye|Jan Gaye and David Ritz|May 19, 2015|4.5|42
Andrews' Diseases of the Skin: Clinical Dermatology, 12e|William D. James MD and Timothy Berger MD|May 4, 2015|5|1
My Grandmother Asked Me to Tell You She's Sorry: A Novel|Fredrik Backman|Jun 16, 2015|4.3|35
Side by Side: Walking with Others in Wisdom and Love|Edward T. Welch|Apr 30, 2015|4.8|14
Going Off Script: How I Survived a Crazy Childhood, Cancer, and Clooney's 32 On-Screen Rejections|Giuliana Rancic|Apr 7, 2015|4.7|241
Thor's Serpents (The Blackwell Pages)|K. L. Armstrong and M. A. Marr|May 19, 2015|4.8|12
First to Fly: The Story of the Lafayette Escadrille, the American Heroes Who Flew For France in World War I|Charles Bracelen Flood|Jun 2, 2015|4|4
The Calm Center: Reflections and Meditations for Spiritual Awakening (An Eckhart Tolle Edition)|Steve Taylor and Eckhart Tolle|May 12, 2015|5|9
A Handful of Stars|Cynthia Lord|May 26, 2015|4.9|8
The HEAD Game: High-Efficiency Analytic Decision Making and the Art of Solving Complex Problems Quickly|Philip Mudd|Apr 6, 2015|4|13
The Skunk|Mac Barnett and Patrick McDonnell|Apr 14, 2015|4.8|5
Prepper's Natural Medicine: Life-Saving Herbs, Essential Oils and Natural Remedies for When There is No Doctor|Cat Ellis|Jun 9, 2015|4.5|12
Delicious!: A Novel|Ruth Reichl|May 12, 2015|4.2|801
The Most Good You Can Do: How Effective Altruism Is Changing Ideas About Living Ethically|Peter Singer|Apr 7, 2015|4.6|32
Ferri's Clinical Advisor 2016: 5 Books in 1, 1e (Ferri's Medical Solutions)|Fred F. Ferri MD  FACP|Jun 11, 2015||Internal Medicine
Porsche 911 Red Book 3rd Edition: Specifications, Options, Production Numbers, Data Codes and More|Patrick Paternie and Peter Bodensteiner|Jun 8, 2015|5|5
Teenage Mutant Ninja Turtles: The IDW Collection Volume 1|Tom Waltz and Kevin B. Eastman|Jun 9, 2015|5|3
The Little Paris Bookshop: A Novel|Nina George|Jun 23, 2015|4|44
Alabama Studio Sewing Patterns: A Guide to Customizing a Hand-Stitched Alabama Chanin Wardrobe|Natalie Chanin|Apr 7, 2015|4.4|47
Increase, Decrease: 99 Step-by-Step Methods; Find the Perfect Technique for Shaping Every Knitting Project|Judith Durant|May 19, 2015|4.8|16
A Guide to Marie Kondo's The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing...|I.K. Mullins and Brief Concise and to the Point Publishing|Mar 26, 2015|4|
The Fold: A Novel|Peter Clines|Jun 2, 2015|4.2|104
No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State|Glenn Greenwald|Apr 28, 2015|4.5|745
A Week at the Lake|Wendy Wax|Jun 23, 2015|4.7|3
Thompson & Thompson Genetics in Medicine, 8e|Robert L. Nussbaum MD  FACP  FACMG and Roderick R. McInnes CM  MD  PhD  FRS(C)  FCAHS  FCCMG|Jun 4, 2015||Genetics
Falling in Love: A Commissario Guido Brunetti Mystery|Donna Leon|Apr 7, 2015|4|357
ESV Study Bible (TruTone, Mahogany, Ornament Design)|ESV Bibles by Crosswa|Mar 31, 2015|4.9|15
The First Collection of Criticism by a Living Female Rock Critic|Jessica Hopper|May 12, 2015|4.8|5
Excellent Sheep: The Miseducation of the American Elite and the Way to a Meaningful Life|William Deresiewicz|May 26, 2015|4.2|151
Southern Living Off the Eaten Path: On the Road Again: More Unforgettable Foods and Characters from the South's...|Morgan Murph|May 5, 2015|4.8|18
Every Town Is a Sports Town: Business Leadership at ESPN, from the Mailroom to the Boardroom|George Bodenheimer and Donald T. Phillips|May 5, 2015|4.8|6
Evidence Explained: Citing History Sources from Artifacts to Cyberspace, Third Edition|Elizabeth Shown Mills|May 22, 2015||
Wearing God: Clothing, Laughter, Fire, and Other Overlooked Ways of Meeting God|Lauren F. Winner|Mar 31, 2015|4.4|16
Burn (Michael Bennett)|James Patterson and Michael Ledwidge|Apr 7, 2015|4.2|1,693
The Lost Girls: The True Story of the Cleveland Abductions and the Incredible Rescue of Michelle Knight, Amanda...|John Glatt|Apr 14, 2015|4.7|74
A Book of Walks|Bruce Boch|May 15, 2015|5|4
Sword of Destiny (The Witcher)|Andrzej Sapkowski|May 19, 2015|4.8|13
Etta and Otto and Russell and James: A Novel|Emma Hooper|May 26, 2015|4|145
The Skull Throne: Book Four of The Demon Cycle|Peter V. Brett|Mar 31, 2015|3.8|403
Two Scoops of Django: Best Practices for Django 1.8|Daniel Roy Greenfeld and Audrey Roy Greenfeld|May 15, 2015|5|3
Summerlong: A Novel|Dean Bakopoulos|Jun 16, 2015||
Judy & Liza & Robert & Freddie & David & Sue & Me...: A Memoir|Stevie Phillips|Jun 2, 2015|4|21
BIG, HOT TO COLD: An Odyssey of Architectural Adaptation|Bjarke Ingels|Mar 30, 2015|4.5|12
Pathfinder Roleplaying Game: Pathfinder Unchained|Jason Bulmahn|May 12, 2015|3.7|9
Blood on Snow: A novel|Jo Nesbo and Neil Smith|Apr 7, 2015|3.4|338
Rain: A Natural and Cultural History|Cynthia Barnett|Apr 21, 2015|4.6|59
100 Prayers for Your Marriage: Draw Close to Each Other and Closer to God|Darlene Schacht|Jun 10, 2015|5|9
Grayson Vol. 1: Agents of Spyral (The New 52)|Tim Seeley and Tom King|Jun 9, 2015|4|9
All Fall Down: A Novel|Jennifer Weiner|Apr 7, 2015|4|1,156
Geek Heresy: Rescuing Social Change from the Cult of Technology|Kentaro Toyama|May 26, 2015|5|11
Understanding Gender Dysphoria: Navigating Transgender Issues in a Changing Culture (Christian Association for...|Mark A. Yarhouse|Jun 22, 2015|5|3
Dorothy Must Die|Danielle Paige|Mar 31, 2015|4.1|426
The Governor's Wife: A novel|Michael Harve|Jun 2, 2015|4.4|19
Cookie Love: More Than 60 Recipes and Techniques for Turning the Ordinary into the Extraordinary|Mindy Segal and Kate Leah|Apr 7, 2015|4.4|49
YOLO Juliet (OMG Shakespeare)|William Shakespeare and Brett Wright|May 26, 2015|3.1|14
Sunset Western Garden Book of Easy-Care Plantings: The Ultimate Guide to Low-Water Beds, Borders, and Containers|The Editors of Sunset Magazine|Apr 7, 2015|4.2|15
Whitney and Bobbi Kristina|Ian Halperin|Jun 9, 2015|3.9|14
The Odd Woman and the City: A Memoir|Vivian Gornick|May 19, 2015|4|11
Enormous Smallness: A Story of E. E. Cummings|Matthew Burgess and Kris Di Giacomo|Apr 7, 2015|4.9|23
Seven Spoons: My Favorite Recipes for Any and Every Day|Tara O'Brad|Apr 21, 2015|4.4|22
Nora Webster: A Novel|Colm Toibin|Jun 2, 2015|3.7|356
The Survivalist (Finest Hour)|Dr. Arthur T Bradle|Jun 5, 2015|4.7|71
Injustice: Gods Among Us: Year Two Vol. 2|Tom Taylor and Bruno Redondo|Apr 21, 2015|4.7|19
The Improv Handbook for Modern Quilters: A Guide to Creating, Quilting, and Living Courageously|Sherri L. Wood|Apr 28, 2015|4.7|17
Duty: Memoirs of a Secretary at War|Robert M Gates|May 12, 2015|4.3|2,424
Einstein's Dice and Schrödinger's Cat: How Two Great Minds Battled Quantum Randomness to Create a Unified Theory...|Paul Halpern|Apr 14, 2015|4.5|20
Merenstein & Gardner's Handbook of Neonatal Intensive Care, 8e|Sandra Lee Gardner RN  MS  CNS  PNP and Brian S. Carter MD  FAAP|May 14, 2015|5|3
Data Science Interviews Exposed|Yanping Huang and Jane You|May 25, 2015|4|7
All The Wild That Remains: Edward Abbey, Wallace Stegner, and the American West|David Gessner|Apr 20, 2015|4.2|26
Ian Schrager: Works|Ian Schrager and Philippe Starck|May 5, 2015||
Dork Diaries Box Set (Ten Books Inside!): Dork Diaries; Dork Diaries 2; Dork Diaries 3; Dork Diaries 3 1/2; Dork...|Rachel Renée Russell|Jun 23, 2015||
The Inner Circle|Brad Meltzer|Apr 28, 2015|3.4|519
Charlie Martz and Other Stories: The Unpublished Stories|Elmore Leonard|Jun 16, 2015|1|1
The Wonder Garden|Lauren Acampora|May 5, 2015|3.8|43
Michael Vey 4: Hunt for Jade Dragon|Richard Paul Evans|May 5, 2015|4.8|482
World's Healthiest Foods, 2nd Edition: The Force For Change To Health-Promoting Foods and New Nutrient-Rich Cooking|George Mateljan|May 28, 2015|4.4|10
True Woman 201: Interior Design - Ten Elements of Biblical Womanhood (True Woman)|Mary A. Kassian and Nancy Leigh DeMoss|Apr 1, 2015|4.8|12
Suspicion|Joseph Finder|Apr 7, 2015|4.3|388
Love May Fail: A Novel|Matthew Quick|Jun 16, 2015|4.2|9
Beyond: Our Future in Space|Chris Impe|Apr 13, 2015|4.3|16
Adult Coloring Books: A Collection of Coloring Books for Adults; Featuring Mandalas, Flowers, and Geometric Designs|Coloring Books for Adults|May 13, 2015|4.8|4
Dr. Jordan Metzl's Running Strong: The Sports Doctor's Complete Guide to Staying Healthy and Injury-Free for Life|Jordan Metzl and Claire Kowalchik|Mar 31, 2015|4.7|29
Oh Gussie!: Cooking and Visiting in Kimberly's Southern Kitchen|Kimberly Schlapman and Martha Foose|Apr 14, 2015|4.8|41
The Dalai Lama's Cat and the Power of Meow|David Michie|Jun 15, 2015|5|5
The Abundance Diet: The 28-day Plan to Reinvent Your Health, Lose Weight, and Discover the Power of Plant-Based...|Somer McCowan|Jun 9, 2015|4.6|10
The Harder They Come: A Novel|T.C. Boyle|Mar 31, 2015|3.9|131
Real Baby Food: Easy, All-Natural Recipes for Your Baby and Toddler|Jenna Helwig|Apr 28, 2015|5|9
Kaplan 5 Strategies for the New SAT (Kaplan Test Prep)|Kaplan|Apr 7, 2015|5|1
Orhan's Inheritance|Aline Ohanesian|Apr 7, 2015|4.4|127
Cocoa Programming for OS X: The Big Nerd Ranch Guide (5th Edition) (Big Nerd Ranch Guides)|Aaron Hillegass and Adam Preble|Apr 24, 2015|5|7
Headstrong: 52 Women Who Changed Science-and the World|Rachel Swa|Apr 7, 2015|4.6|51
Against the Tide (The Brodies Of Alaska)|Kat Martin|May 26, 2015|4.6|119
The Ghost Army of World War II: How One Top-Secret Unit Deceived the Enemy with Inflatable Tanks, Sound Effects...|Rick Beyer and Elizabeth Sayles|Apr 28, 2015|5|8
The Jezebel Remedy: A novel|Martin Clark|Jun 9, 2015|3.8|30
The Physicist and the Philosopher: Einstein, Bergson, and the Debate That Changed Our Understanding of Time|Jimena Canales|May 26, 2015|5|2
Whirlwind: The American Revolution and the War That Won It|John Ferling|May 5, 2015|5|5
Not My Father's Son: A Memoir|Alan Cumming|May 5, 2015|4.5|623
Focus: The Hidden Driver of Excellence|Daniel Goleman|May 5, 2015|3.7|225
The Architect's Apprentice: A Novel|Elif Shafak|Mar 31, 2015|4.3|19
Tesla: Inventor of the Electrical Age|W. Bernard Carlson|Apr 27, 2015|4.4|108
In a French Kitchen: Tales and Traditions of Everyday Home Cooking in France|Susan Herrmann Loomis|Jun 16, 2015|5|4
The Jungle Temple Oracle: The Mystery of Herobrine: Book Two: A Gameknight999 Adventure: An Unofficial Minecrafter's...|Mark Cheverton|Apr 21, 2015|5|10
Never Girls #9: Before the Bell (Disney: The Never Girls) (A Stepping Stone Book(TM))|Kiki Thorpe and RH Disne|Apr 28, 2015|4.9|11
God and the Gay Christian: The Biblical Case in Support of Same-Sex Relationships|Matthew Vines|Jun 16, 2015|3.9|223
Abstract Art Painting: Expressions in Mixed Media|Debora Stewart|May 6, 2015|4.7|18
Ross Macdonald: Four Novels of the 1950s: (Library of America #264)|Ross Macdonald and Tom Nolan|Apr 28, 2015|4.8|5
The Iliad: A New Translation by Peter Green|Homer and Peter Green|May 14, 2015|5|3
North Shore: A Natural History of Minnesota's Superior Coast|Chel Anderson and Adelheid Fischer|May 1, 2015|5|2
Lonely Planet France (Travel Guide)|Lonely Planet and Nicola Williams|Apr 1, 2015|4.3|37
Lost in the Sun|Lisa Graff|May 26, 2015|4.6|5
Lonely Planet China (Travel Guide)|Lonely Planet and Damian Harper|Jun 1, 2015|2.7|3
So We Read On: How The Great Gatsby Came to Be and Why It Endures|Maureen Corrigan|May 12, 2015|4.5|71
Whatever...Love Is Love: Questioning the Labels We Give Ourselves|Maria Bello|Apr 28, 2015|4.6|29
The Real Doctor Will See You Shortly: A Physician's First Year|Matt McCarth|Apr 7, 2015|4.4|102
Meow Libs (Mad Libs)|Price Stern Sloan|May 26, 2015||
An Appeal To Heaven: What Would Happen If We Did It Again|Dutch Sheets|Apr 24, 2015|5|
Hummelo: A Journey Through a Plantsman's Life|Piet Oudolf and Noel Kingsbur|May 5, 2015|4|1
Eighth Grave After Dark (Charley Davidson)|Darynda Jones|May 19, 2015|4.7|257
Crimes of the Educators: How Utopians Are Using Government Schools to Destroy America's Children|Samuel Blumenfeld and Alex Newman|Apr 14, 2015|4.6|23
The Lost World of the Old Ones: Discoveries in the Ancient Southwest|David Roberts|Apr 13, 2015|4.4|14
Unicorn on a Roll: Another Phoebe and Her Unicorn Adventure (Heavenly Nostrils)|Dana Simpson|May 26, 2015|4.8|9
400 Calories or Less with Our Best Bites|Sara Wells and Kate Jones|Apr 7, 2015|4.6|43
Paradise Sky|Joe R. Lansdale|Jun 16, 2015|5|2
The Her Campus Guide to College Life: How to Manage Relationships, Stay Safe and Healthy, Handle Stress, and Have...|Stephanie Kaplan Lewis and Annie Chandler Wang|Apr 4, 2015|4.9|53
Historical Thinking Skills: A Workbook for U. S. History|John P. Irish|Jun 1, 2015||1 more promotion
Clean Green Eats: 100+ Clean-Eating Recipes to Improve Your Whole Life|Candice Kumai|Jun 23, 2015||Vegetarian Cooking
My First Ramadan (My First Holiday)|Karen Katz|May 12, 2015|4.8|30
Baptists in America: A History|Thomas S. Kidd and Barry Hankins|Jun 1, 2015|5|5
Inside Out Big Golden Book (Disney/Pixar Inside Out) (a Big Golden Book)|Suzanne Francis|May 5, 2015|5|1
A Head Full of Ghosts: A Novel|Paul Trembla|Jun 2, 2015|4.6|23
Lucky Peach Issue 15|David Chang and Peter Meehan|May 19, 2015||
Last Man Off: A True Story of Disaster and Survival on the Antarctic Seas|Matt Lewis|May 12, 2015|4.2|37
Lonely Planet Alaska (Travel Guide)|Lonely Planet and Brendan Sainsbur|May 1, 2015|4|3
The Shirtmaking Workbook: Pattern, Design, and Construction Resources - More than 100 Pattern Downloads for Collars...|David Coffin|Jun 1, 2015|4.8|30
The Strangler Vine (A Blake and Avery Novel)|M.J. Carter|Mar 31, 2015|4.3|67
Waterloo: The Aftermath|Paul O'Keeffe|May 19, 2015||
The Marriage Season (Brides of Bliss County)|Linda Lael Miller|May 26, 2015|4.5|57
Make Me One with Everything: Buddhist Meditations to Awaken from the Illusion of Separation|Lama Surya Das|May 1, 2015|5|8
Girl at War: A Novel|Sara Novic|May 12, 2015|4.2|48
Graceful (Willow Falls)|Wendy Mass|Apr 28, 2015|4.8|20
The 13-Story Treehouse (The Treehouse Books)|Andy Griffiths and Terry Denton|Apr 7, 2015|4.4|35
Icebox Cakes: Recipes for the Coolest Cakes in Town|Jean Sagendorph and Jessie Sheehan|Apr 14, 2015|5|3
The State of the American Mind: 16 Leading Critics on the New Anti-Intellectualism|Mark Bauerlein and Adam Bellow|Jun 16, 2015|3|1
Walt Disney's Donald Duck: "The Pixilated Parrot" (Vol. 6)  (The Carl Barks Library)|Carl Barks|May 15, 2015|4.9|12
The Boy Who Played with Fusion: Extreme Science, Extreme Parenting, and How to Make a Star|Tom Clynes|Jun 9, 2015|4.5|24
The Fill-In Boyfriend|Kasie West|May 5, 2015|4.5|57
Pig Tales: An Omnivore's Quest for Sustainable Meat|Barry Estabrook|May 4, 2015|4.7|20
Leadership Pain: The Classroom for Growth|Samuel Chand|Apr 7, 2015|4.9|97
Zen Doodle Coloring Book: Relax and Relieve Stress with Adult Coloring Pages|Kristy Conlin|May 21, 2015|4.8|4
The Secret History of Kindness: Learning from How Dogs Learn|Melissa Holbrook Pierson|May 4, 2015|3|6
Handbook of United States Coins 2016 Paperback (Handbook of United States Coins (Paper))|Kenneth Bressett and R. S. Yeoman|May 12, 2015|4.7|10
Mobile Suit Gundam: The ORIGIN, Volume 10: Solomon|Yoshikazu Yasuhiko|Jun 23, 2015||
Absolutely Almost|Lisa Graff|May 5, 2015|4.3|33
The Daylight Marriage|Heidi Pitlor|May 5, 2015|3.3|74
100 Things A's Fans Should Know & Do Before They Die (100 Things...Fans Should Know)|Susan Slusser and Billy Beane|Jun 1, 2015|5|13
Low Volume 1: The Delirium of Hope|Rick Remender and Greg Tocchini|Apr 7, 2015|4|28
Heading Home With Your Newborn: From Birth to Reality|Laura A. Jana and Jennifer Shu|Jun 9, 2015|5|1
The Law of the Land: A Grand Tour of our Constitutional Republic|Akhil Reed Amar|Apr 14, 2015|3.9|7
Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 2 (Is It Wrong to Pick Up Girls in a Dungeon?)|Fujino Omori and Suzuhito Yasuda|Apr 21, 2015|4.8|25
Encountering Truth: Meeting God in the Everyday|Pope Francis and Antonio Spadaro|Jun 16, 2015|5|1
Pinocchio: The Making of the Disney Epic|J.B. Kaufman|May 26, 2015|4.8|4
Trauma: A Novel|Daniel Palmer and Michael Palmer|May 12, 2015|4.4|66
The Change: Tales of Downfall and Rebirth (Change Series)|S. M. Stirling|Jun 2, 2015|4.2|26
Pure Pork Awesomeness: Totally Cookable Recipes from Around the World|Kevin Gillespie and David Joachim|Mar 31, 2015|4.8|16
Redeeming Sex: Naked Conversations About Sexuality and Spirituality (Forge Partnership Books)|Debra Hirsch and Gabe Lyons|May 6, 2015|4.7|35
The Power Playbook: Rules for Independence, Money and Success|La La Anthon|May 5, 2015|4.9|16
Lists of Note: An Eclectic Collection Deserving of a Wider Audience|Shaun Usher|Jun 16, 2015|4|3
Population Control: How Corporate Owners Are Killing Us|Jim Marrs|Jun 23, 2015||Communication & Media Studies
Ultimate Sticker Book: Disney Pixar Inside Out (Ultimate Sticker Books)|DK|May 5, 2015|5|1
Coloring Book for Grown Ups: Creative Patterns for Adults|Adult Coloring Book Artists|Apr 20, 2015|4.7|6
My Documents|Alejandro Zambra and Megan McDowell|Apr 14, 2015|3.3|3
Batgirl Vol. 1: The Batgirl of Burnside (The New 52)|Brenden Fletcher and Cameron Stewart|Jun 16, 2015|3.9|10
Rick Steves Eastern Europe|Rick Steves and Cameron Hewitt|Jun 9, 2015||
The ABLES|Jeremy Scott|May 1, 2015|4.7|125
Michael Jordan: The Life|Roland Lazen|May 19, 2015|4.5|115
The Sunken Cathedral: A Novel|Kate Walbert|Jun 9, 2015|3.1|7
Self-Deliverance: How to Gain Victory over the Powers of Darkness|Rabbi K. A. Schneider|Jun 16, 2015|4.9|18
Eat. Nourish. Glow.|Amelia Freer|Jun 9, 2015|4|145
Coastal Living Beach House Happy: The Joy of Living by the Water|Antonia van der Meer|Apr 21, 2015|4.2|11
Under the Same Sky: From Starvation in North Korea to Salvation in America|Joseph Kim and Stephan Talt|Jun 2, 2015|4.5|28
Murray & Nadel's Textbook of Respiratory Medicine, 2-Volume Set, 6e (Textbook of Respiratory Medicine (Murray))|V.Courtney Broaddus MD and Robert J. Mason MD|Apr 6, 2015|5|1
Lonely Planet Croatia (Travel Guide)|Lonely Planet and Anja Mutic|May 1, 2015|5|1
Medical Billing and Coding For Dummies|Karen Smile|Apr 27, 2015|4.5|2
The Needlepoint Book: New, Revised, and Updated Third Edition|Jo Ippolito Christensen|Apr 28, 2015|4.5|91
Rising to the Challenge: My Leadership Journey|Carly Fiorina|May 5, 2015|4.4|14
Helping Your Child with Extreme Picky Eating: A Step-by-Step Guide for Overcoming Selective Eating, Food Aversion...|Katja Rowell MD and Jenny McGlothlin MS  CCC-SLP|May 1, 2015|5|20
New England Open-House Cookbook: 300 Recipes Inspired by the Bounty of New England|Sarah Leah Chase and Ina Garten|Jun 2, 2015|5|4
That Chesapeake Summer (The Chesapeake Diaries)|Mariah Stewart|Jun 23, 2015|4.2|5
HBR's 10 Must Reads on Emotional Intelligence (with featured article "What Makes a Leader?" by Daniel Goleman)...|Harvard Business Review and Daniel Goleman|May 5, 2015|4.6|5
Muse: A novel|Jonathan Galassi|Jun 2, 2015|3.2|26
Secret Brother (Dollanganger)|V.C. Andrews|May 26, 2015|2.7|48
Moon Glacier National Park: Including Waterton Lakes National Park (Moon Handbooks)|Becky Lomax|Apr 28, 2015|5|2
Alexander McQueen|Claire Wilcox|May 5, 2015|5|3
Octavia's Brood: Science Fiction Stories from Social Justice Movements|Walidah Imarisha and adrienne maree brown|Apr 7, 2015|5|4
When We Were Animals|Joshua Gaylord|Apr 21, 2015|3.7|19
Bob Books: First Stories|Lynn Maslen Kertell and Dana Sullivan|Apr 28, 2015||
Sugar Crush: How to Reduce Inflammation, Reverse Nerve Damage, and Reclaim Good Health|Richard Jacoby and Raquel Baldelomar|Apr 14, 2015|4.7|28
Open Source Intelligence Techniques: Resources for Searching and Analyzing Online Information|Michael Bazzell|Mar 28, 2015|4.7|9
Southern Bastards Volume 2: Gridiron|Jason Aaron and Jason LaTour|May 19, 2015|4.7|7
Thanos: The Infinity Relativity|Jim Starlin|Jun 2, 2015|4.3|3
Setting the Standard for Project Based Learning: A Proven Approach to Rigorous Classroom Instruction|Buck Institute for Education and John Larmer|May 29, 2015||
All Involved: A Novel|Ryan Gattis|Apr 7, 2015|4.7|15
I Take You: A Novel|Eliza Kenned|May 5, 2015|3.3|93
No Summit out of Sight: The True Story of the Youngest Person to Climb the Seven Summits|Jordan Romero and Linda LeBlanc|May 12, 2015|4.9|31
Paris Match: A Stone Barrington Novel|Stuart Woods|Jun 2, 2015|3.8|909
A Nun on the Bus: How All of Us Can Create Hope, Change, and Community|Sister Simone Campbell|Apr 7, 2015|4.6|49
Garden of Lies|Amanda Quick|Apr 21, 2015|4.3|263
The Visual Toolbox: 60 Lessons for Stronger Photographs (Voices That Matter)|David duChemin|Apr 6, 2015|4.9|25
Instinct (Chronicles of Nick)|Sherrilyn Kenyon|Mar 31, 2015|4.7|261
Happiness According to Jesus: What It Means to Be Blessed|Bobby Schuller|Jun 9, 2015|4.8|13
Hard Limit: Subtitle: The Hacker Series #4|Meredith Wild|May 12, 2015|4.8|1,258
Second Life: A Novel|S. J. Watson|Jun 9, 2015|3.3|70
Dragon in Exile (Liaden Universe®)|Sharon Lee and Steve Miller|Jun 2, 2015|4.6|68
A Deadly Wandering: A Mystery, a Landmark Investigation, and the Astonishing Science of Attention in the Digital...|Matt Richtel|Jun 2, 2015|4.3|147
